ADRESSEID;fylke;kommune;BYGNINGSTYPE;Lat;Lon
51193067;ROGALAND;UTSIRA;113-Våningshus;59.3085887245007;4.88187276964842
51193126;ROGALAND;UTSIRA;111-Enebolig;59.3003527392747;4.89004092620753
51193128;ROGALAND;UTSIRA;111-Enebolig;59.3013179693617;4.88884921211629
51193141;ROGALAND;UTSIRA;113-Våningshus;59.2990750141479;4.88736326274024
51193160;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.301417945341;4.88597064445915
51193194;ROGALAND;UTSIRA;161-Fritidsbygg(hyttersommerh. ol;59.2985078563688;4.88751563004204
51193119;ROGALAND;UTSIRA;111-Enebolig;59.3016430574377;4.89126416848474
51193156;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3021218198635;4.88248622167713
51193172;ROGALAND;UTSIRA;183-Naust båthus sjøbu;59.311749222724;4.88582663761044
550590923;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2997958943159;4.88974785933213
51193060;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3105946375111;4.8822971829545
51193193;ROGALAND;UTSIRA;615-Komb. barne- og ungdomsskole;59.3035115492744;4.88647511695586
550586377;ROGALAND;UTSIRA;111-Enebolig;59.2980592527263;4.89194911728577
550590924;ROGALAND;UTSIRA;NULL;59.3035872602929;4.89344161439575
551447918;ROGALAND;UTSIRA;113-Våningshus;59.3002151087876;4.89347911901835
6283719965;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3021268541699;4.89258769149778
51193064;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3108169935898;4.88559309660306
51193095;ROGALAND;UTSIRA;111-Enebolig;59.3073599854349;4.88178142893871
51193207;ROGALAND;UTSIRA;111-Enebolig;59.3101019319989;4.88074606748105
51193219;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.31190402642;4.88018737764012
550563110;ROGALAND;UTSIRA;111-Enebolig;59.2997076157131;4.89854957101515
6283719964;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3021934503073;4.89274466453019
51193091;ROGALAND;UTSIRA;111-Enebolig;59.3107992353644;4.88271362567043
51193158;ROGALAND;UTSIRA;113-Våningshus;59.3020483406827;4.88581695898165
51193175;ROGALAND;UTSIRA;529-Annen bygning for overnatting;59.3113641493254;4.88668550914897
